headline,field,region,year,sentiment
Newfoundland: The 'promised land' of fishing; Company plans $135-million expansion of province's farmed salmon business,Aquaculture,Canada,2006,1
Marine farming `choked',Aquaculture,New Zealand,2006,-1
New minister schooled in fish farming; Aquaculture Ron Ouellette admits he's a guppy when it comes to the industry,Aquaculture,Canada,2006,-1
Whirling disease hurts Utah aquaculture industry,Aquaculture,USA,2006,-1
"Whirling disease takes huge toll on fish business, census shows",Aquaculture,USA,2006,-1
Report confirms Utah fish sales gutted,Aquaculture,USA,2006,-1
CLINTON INVESTMENTS TRUST BUYS 1.8M CELL AQUACULTURE SHARES,Aquaculture,Australia,2006,1
CELL AQUACULTURE ENTERS ASIAN MARKET WITH MALAYSIAN HOA,Aquaculture,Australia,2006,0
Aquaculture part of the landscape: Anderton,Aquaculture,New Zealand,2006,0
Aquaculture industry struggles against odds; Billion-dollar vision clashes with reality so National MP wants legislative changes to ensure research can be done and incumbent farmers aren't disadvantaged,Aquaculture,New Zealand,2006,-1
Oysters drive aquaculture in Marin,Aquaculture,USA,2006,1
Nelson home to new aquaculture organisation,Aquaculture,New Zealand,2006,0
Grand plan for aquaculture,Aquaculture,New Zealand,2006,1
Aquaculture dives into training,Aquaculture,New Zealand,2006,0
"Aquaculture - environmentally friendly, ecologically responsible",Aquaculture,Australia,2006,1
Aquaculture - leading edge or bleeding edge,Aquaculture,Australia,2006,0
HUGE GROWTH May be worth $1bn in foreseeable future; Seafood set to become fast-lane winner,Aquaculture,Australia,2006,0
World view on way ahead,Aquaculture,Australia,2006,0
AQUACULTURE Buy-up of SA outlets begins; $50m for fish farm empire,Aquaculture,Australia,2006,1
Plenty of mussel in aquaculture; Leases snapped up,Aquaculture,Australia,2006,1
CELL AQUACULTURE BEGINS US BARRAMUNDI PRODUCTION,Aquaculture,Australia,2006,0
Fish or fowl?,Aquaculture,Canada,2006,-1
Lupin fish fodder,Aquaculture,Australia,2006,0
CELL AQUACULTURE AIR-FREIGHTS MORE BARRAMUNDI TO HOLLAND,Aquaculture,Australia,2006,0
Marine battle rages on,Aquaculture,New Zealand,2006,-1
Aquaculture workshops scheduled at WCCC,Aquaculture,USA,2006,0
Aquaculture sales chief,Aquaculture,Australia,2006,0
Marine farmers fall foul of aquaculture laws,Aquaculture,New Zealand,2006,-1
Government tries to turn the tide with new Victorian aquaculture leases,Aquaculture,Australia,2006,1
Barra make safe landing,Aquaculture,Australia,2006,1
Barra babies flown out to Netherlands,Aquaculture,Australia,2006,1
CELL AQUACULTURE OPENS Netherlands FACILITIES,Aquaculture,Australia,2006,1
CELL AQUACULTURE IN JV WITH DELTA AQUACULTURE,Aquaculture,Australia,2006,0
The dangers of acquaculture,Aquaculture,Canada,2006,-1
Aquaculture committee moves ahead,Aquaculture,Canada,2006,1
CELL AQUACULTURE BUYS INTO US AQUACULTURE COMPANY,Aquaculture,USA,2006,1
Currie fish farmers succeeding in aquaculture,Aquaculture,USA,2006,1
"WVU Extension aquaculture forum to catch fish producers, draw public Jan. 21",Aquaculture,USA,2006,0
City hails release of aquaculture leases,Aquaculture,Australia,2006,1
Fine kettle of fish,Aquaculture,Australia,2006,1
Canadian salmon firm expands Maine holdings,Aquaculture,Canada,2006,1
Lack of numbers forces aquaculture school to close,Aquaculture,Australia,2005,-1
Minister proposes powers to protect freshwater fisheries,Aquaculture,Scotland,2005,0
RM5m hatchery in Tasik Kenyir,Aquaculture,Malaysia,2005,0
Ex-ISU biologist extols viability of aquaculture,Aquaculture,USA,2005,1
CELL AQUACULTURE TAKES 30% IN MARINE FARMS,Aquaculture,Australia,2005,0
CELL AQUACULTURE TO SELL LAND FOR $2.6M,Aquaculture,Australia,2005,0
CELL AQUACULTURE TO PROCEED WITH US JOINT VENTURE,Aquaculture,USA,2005,0
LEADING A CULTURED LIFE ..ZO: B -All Region,Aquaculture,Malaysia,2005,0
"FISH FARMS NEED GOVT SUPPORT, CLEAN RIVERS",Aquaculture,Taiwan,2005,1
Support flows for aquaculture declaration,Aquaculture,Canada,2005,1
CELL AQUACULTURE APPOINTS ALTERNATE DIRECTOR,Aquaculture,Australia,2005,0
AUSTRALIS AQUACULTURE REPORTS 1.5M LOSS,Aquaculture,Australia,2005,-1
"CELL AQUACULTURE APPOINTS AGENT FOR CHINA, S-E ASIA EXPANSION",Aquaculture,Australia,2005,0
Canadians fly the flag at aquaculture show,Aquaculture,Canada,2005,0
CELL AQUACULTURE APPOINTS DIRECTORS,Aquaculture,Australia,2005,0
CELL AQUACULTURE SIGNS DEAL FOR HOLLAND JV,Aquaculture,Australia,2005,0
AUSTRALIS AQUACULTURE HAS $3.9M CASH,Aquaculture,USA,2005,0
TOKM has new obligation,Aquaculture,New Zealand,2005,0
Criterion,Aquaculture,Australia,2005,0
SA's fish farms angle for a new type of catch; SPECIAL REPORT - South AUSTRALIA,Aquaculture,Australia,2005,0
Ocean aquaculture,Aquaculture,USA,2005,0
Prime real estate,Aquaculture,Canada,2005,0
Tassie salmon market threats,Aquaculture,Australia,2005,-1
"Bigger would be better, report says",Aquaculture,Canada,2005,1
Aquaculture part of 'long-term plan' for Harbour Breton,Aquaculture,Newfoundland,2005,1
Aquaculture works,Aquaculture,USA,2005,1
Weston sells last fish unit,Aquaculture,Canada,2005,0
World is your oyster,Aquaculture,Australia,2005,1
"Radical Bush plan boosts B.C. farmed fish industry: Cod, halibut, red snapper to be raised",Aquaculture,Canada,2005,1
"Measure to encourage fish, shellfish farms in federal waters",Aquaculture,USA,2005,1
Plan Would Expand Ocean Fish Farming,Aquaculture,USA,2005,1
$1.4m development could revolutionise aquaculture,Aquaculture,Australia,2005,1
Marlborough pushes aquaculture industry,Aquaculture,New Zealand,2005,1
NEW FLOATS,Aquaculture,Australia,2005,0
Fishing For Answers,Aquaculture,USA,2005,-1
New Floats,Aquaculture,Australia,2005,0
Fish farm supporters attack James,Aquaculture,Canada,2005,-1
Conference will put focus on aquaculture,Aquaculture,United Kingdom,2005,0
THE AQUA CULTURE PHENOMENON,Aquaculture,USA,2005,1
Maori set for aquaculture boost,Aquaculture,New Zealand,2005,1
UBC and feds eye aquaculture,Aquaculture,Canada,2005,1
Education advertising feature;Sea change on the Apple Isle,Aquaculture,South Africa,2005,0
"DNR QUICK TO LICENSE, SLOW TO EVALUATE AQUACULTURE IN WETLANDS",Aquaculture,USA,2005,-1
Pro fish farm group fires back at report,Aquaculture,USA,2005,0
Minister lands lead role in Scottish aquaculture forum,Aquaculture,United Kingdom,2005,0
Bill aims to boost Maryland's $700 million seafood industry,Aquaculture,USA,2005,1
"Forced to shell out more for licences, producers say aquaculture could sink; AGRIBUSINESS",Aquaculture,Australia,2005,-1
"Scots fish farmers can lead Europe, says aquaculture expert",Aquaculture,United Kingdom,2005,1
Shetland salmon farmer takes over as chairman of aquaculture group,Aquaculture,United Kingdom,2005,0
New marine harvest will employ 600 in Scotland,Aquaculture,United Kingdom,2005,1
Ex-minister to head salmon forum,Aquaculture,Canada,2004,0
Enrol 2005 advertising feature;Sign on for seachange,Aquaculture,South Africa,2004,0
Family aims to clean up with sea mullet,Aquaculture,Australia,2004,1
Seafood the main course in new TAFE aquaculture offering; EDUCATION,Aquaculture,Australia,2004,0
RESEARCH SHRIMP CROP IS A-COMIN'; A UF AG PROJECT UNVEILS AQUACULTURE POTENTIAL,Aquaculture,USA,2004,1
Loan guarantees for fish farmers,Aquaculture,Canada,2004,1
Booming NZ aquaculture industry awash with dissent,Aquaculture,New Zealand,2004,-1
"Oyster, mussel farm had seeds at RWU aquaculture program",Aquaculture,USA,2004,0
Aquaculture bill worries industry,Aquaculture,New Zealand,2004,-1
Keep moratorium call,Aquaculture,New Zealand,2004,-1
Pilot study puts spotlight on aquaculture industry,Aquaculture,Australia,2004,1
Oak Hill economic growth may rest with aquaculture,Aquaculture,USA,2004,1
Nothing fishy about this industry's sunny outlook; South AUSTRALIA,Aquaculture,Australia,2004,1
QUALITY OF LIFE INDEX ; Our times as told by statistics,Aquaculture,USA,2004,0
Govt sets nets for opposition lines,Aquaculture,New Zealand,2004,-1
Sustaining Seafood Production In A Growing World,Aquaculture,USA,2004,1
Govt plan to jump in upsets seafood industry,Aquaculture,New Zealand,2004,0
Sealord sees hooks in Govt's marine farm plan for Maori,Aquaculture,New Zealand,2004,-1
Flaunting fish farms; Port tipped for rise in aquaculture,Aquaculture,Australia,2004,1
Aquaculture industry asked for opinion,Aquaculture,United Kingdom,2004,0
Studying the abundance of the sea,Aquaculture,Australia,2004,0
Aquaculture set to scale new heights,Aquaculture,Australia,2004,1
"Fish farms strategy a failure, say greens",Aquaculture,United Kingdom,2004,-1
"Fish farming is farming, not fishing, and Agriculture Canada should oversee it: report",Aquaculture,Canada,2004,-1
Agriculture Canada should oversee fish farm ops: report,Aquaculture,Canada,2004,0
"Pollution laws hurt fish farms, report says: Study encourages minister to free aquaculture industry from Fisheries Act oversight",Aquaculture,Canada,2004,-1
"Fish farming is farming, commissioner insists",Aquaculture,Canada,2004,0
GRANTS TO HELP FISHING AND AQUACULTURE,Aquaculture,Wales,2004,1
Lawmakers to consider aquaculture's future,Aquaculture,USA,2004,0
Rhode Island is ready to ride aquaculture wave,Aquaculture,USA,2004,1
Capital vs. labour,Aquaculture,Canada,2004,0
Aquaculture's promise,Aquaculture,USA,2004,1
"An idea we can't throw back; The only way to meet the future demand for fish will be farming, says WILLIAM HOGARTH, the man responsible for America's coastal waters",Aquaculture,Canada,2004,1
Fraser report assails 'secrecy' in aquaculture,Aquaculture,Canada,2004,-1
Aquaculture team slams Government failure,Aquaculture,New Zealand,2004,-1
Aquaculture is fenced in by fish farmers' lack of property rights,Aquaculture,Canada,2004,-1
First Nations hold aquaculture advantage,Aquaculture,Canada,2003,1
Freeze on marine farms extended,Aquaculture,New Zealand,2003,-1
New Stirling Freshwater Research Unit Is Opened,Aquaculture,United Kingdom,2003,0
The boom in the dishy fish,Aquaculture,Australia,2003,0
Fishing for business: 'Blue revolution' could net a profitable future for B.C.'s fish farms,Aquaculture,Canada,2003,1
Fish farms may have it easier,Aquaculture,Canada,2003,1
Right-to-farm law change makes it easier to establish B.C. fish farms NDP,Aquaculture,Canada,2003,1
B.C. amends right-to-farm legislation for aquaculture,Aquaculture,Canada,2003,1
B.C. loosens up fish farming rules,Aquaculture,Canada,2003,1
"AQUACULTURE WORTH $130 MILLION;A study released today assesses the total value of fish farming sales, wages and related spending in Maine.",Aquaculture,USA,2003,1
Booming business in fisheries sector,Aquaculture,Malaysia,2003,0
Net yourself a top spot in aquaculture,Aquaculture,Australia,2003,1
New regulations to boost fish farming,Aquaculture,Malaysia,2003,1
SORTED AND THE CITY: FISHING FOR EXTRA PROFIT,Aquaculture,United Kingdom,2003,0
Aquaculture Industry Policy Is Backed By Scottish Parliament,Aquaculture,United Kingdom,2003,1
Marine farming high and dry,Aquaculture,New Zealand,2003,-1
Aquaculture holds much promise,Aquaculture,Malaysia,2003,1
Minister initiates environmental code for aquaculture,Aquaculture,Ireland,2003,1
Industry on the crest of export wave,Aquaculture,Australia,2003,1
"The Fish on Our Plates, the Fish in the Sea ",Aquaculture,USA,2003,0
Bills raise tension over management of fish farms;Emotions run high during public hearings on legislation that would affect aquaculture's future.,Aquaculture,USA,2003,-1
"Aquaculture committee has pro-industry bias, MP claims",Aquaculture,Canada,2003,-1
Cummins unimpressed with aqua-report,Aquaculture,Canada,2003,-1
Farmed fish provide a taste of aquaculture center future,Aquaculture,USA,2003,0
Hooked on seafood,Aquaculture,Australia,2003,0
Nets cast for Coast dividend,Aquaculture,Australia,2003,0
DFO requires fish-farm overhaul from Chretien,Aquaculture,Canada,2003,-1
Demand drives aquaculture,Aquaculture,Australia,2003,1
MAS scales up to meet the commercial market,Aquaculture,Australia,2003,1
"Hagen received industry donations, MacPhail says: He replaces van Dongen on aquaculture file",Aquaculture,Canada,2003,0
Cod aquaculture,Aquaculture,Scotland,2003,0
AROUND THE REGIONS;Fishing sector to net $650m,Aquaculture,South Africa,2003,0
Help needed to harvest a billion dollars,Aquaculture,Australia,2003,0
AQUACULTURE;Ocean banquet,Aquaculture,Australia,2003,1
"Aquaculture a pearl for north, experts predict",Aquaculture,New Zealand,2003,1
Curbing the spread of disease in aquaculture,Aquaculture,Malaysia,2003,-1
"Aquaculture revenues drop for second year: Declining American market demand has big impact, Vancouver Sun reporter Bruce Constantineau finds",Aquaculture,Canada,2003,-1
States to help develop aquaculture industrial zones,Aquaculture,Malaysia,2003,1
Billion dollar decision welcomes fish farms,Aquaculture,Canada,2002,1
Aquaculture industry still a zone of contention,Aquaculture,Australia,2002,-1
Relaunch of aquaculture group,Aquaculture,United Kingdom,2002,1
Yorke Peninsula ;Aquaculture under review,Aquaculture,Australia,2002,-1
Minister's push,Aquaculture,United Kingdom,2002,1
Fisheries pumps cash into aquaculture,Aquaculture,Canada,2002,1
New regulations in place to license inland aquaculture farms,Aquaculture,Malaysia,2002,1
Hebrides get new supremo to push aquaculture industry,Aquaculture,United Kingdom,2002,1
Cod trials' results,Aquaculture,United Kingdom,2002,0
State of Maryland considers task force on seafood industry,Aquaculture,USA,2002,0
Aquaculture Industry fears loss of $400m,Aquaculture,New Zealand,2002,-1
Niwa to make most of marine farming pause,Aquaculture,New Zealand,2002,0
Govt marine farm freeze angers firm,Aquaculture,New Zealand,2002,-1
Province; feds seek harmony,Aquaculture,Canada,2001,0
Aquaculture forum gets Website,Aquaculture,Canada,2001,0
College center is dedicated; Aquaculture facility already drawing praise from students,Aquaculture,USA,2001,1
Reaping a barra harvest; Northern Territory,Aquaculture,Australia,2001,0
University zoology lecturer to be laid to rest,Aquaculture,United Kingdom,2001,0
Aquaculture spells relief for fishery,Aquaculture,USA,2001,1
Two-day forum on fish farming set Oct. 26-27,Aquaculture,Canada,2001,0
More research on aquaculture - Senate group: Major challenge is to achieve balance between competing users of environment,Aquaculture,Canada,2001,-1
Fish farm industry scales up,Aquaculture,Australia,2001,1
Fishing for more,Aquaculture,Malaysia,2001,0
"Fish farming worth risks, say MLA trio: Visser, Hagen and Belsey assess the situation",Aquaculture,Canada,2001,1
Aquaculture meeting,Aquaculture,United Kingdom,2001,0
Push to inject more muscle into water farming,Aquaculture,New Zealand,2001,1
"Fisheries department ignorant of risks posed by farmed salmon, report says: Big gaps in knowledge criticized in federal audit",Aquaculture,Canada,2001,-1
Mohegans Deal a New Hand: A Fishery ,Aquaculture,USA,2001,0
 From salmon to shellfish; Portland will host a regional aquaculture conference this weekend,Aquaculture,USA,2001,0
New aquaculture guidelines urged,Aquaculture,United Kingdom,2001,0
WA aquaculture boom,Aquaculture,Australia,2000,1
Aquaculture production to be raised six-fold,Aquaculture,Malaysia,2000,1
Aquaculture nets grant to launch it into future,Aquaculture,Canada,2000,1
Aquaculture industry to be strengthened by fund,Aquaculture,Canada,2000,1
Aquaculture plans snagged by red tape; SEAFOOD,Aquaculture,Australia,2000,-1
"Aquaculture regulations need overhaul, expert says: Annual conference: Lack of consistency hurting industry's growth",Aquaculture,Canada,2000,-1
Aquaculture regulations must be overhauled: experts say,Aquaculture,Canada,2000,-1
DFO abandoning wild salmon: environmentalists,Aquaculture,Canada,2000,-1
"Fish farming dreams a 'nightmare' to environmentalists: They claim Ottawa is silently deserting wild fishing, especially salmon, in favour of fish farming.",Aquaculture,Canada,2000,-1
Fishermen fear federal vision for aquaculture: Environmentalists see contamination of wild fish stocks,Aquaculture,Canada,2000,-1
DFO abandoning wild salmon in favour of fish farming: environmentalists,Aquaculture,Canada,2000,-1
Sea change for cane farms,Aquaculture,Australia,2000,0
"LAND COUNCIL PLANS $10M FISH FARM;MULTI-MILLION-DOLLAR AQUACULTURE VENTURE MAY GENERATE ANOTHER 500 JOBS FOR NAROOMA'""",Aquaculture,Australia,2000,1
Aquaculture - the pearl in our oyster,Aquaculture,Australia,2000,1
Field Notes,Aquaculture,Canada,2000,0
1999 ROYAL ADELAIDE SHOW; A pearl of great price,Aquaculture,Australia,2000,0
Aquaculture way to ensure fish supply beyond 2000,Aquaculture,Malaysia,2000,1
Cutting red tape on fish farming; VICTORIA - SEAFOOD,Aquaculture,Australia,1999,1
Salmon farm's new managers to visit Scotland,Aquaculture,United Kingdom,1999,0
Boost for aquaculture in Kenyir Lake,Aquaculture,Malaysia,1999,1
Aquaculture in demand,Aquaculture,Wales,2011,1
Aquaculture's ready to scale up production,Aquaculture,Australia,1999,1
Bubbling fish farms rival wine,Aquaculture,Australia,1999,1
A state with bigger fish to fry; SEAFOOD,Aquaculture,Australia,1999,1
"330,200ha of land, bodies of water suitable for aquaculture",Aquaculture,Malaysia,1999,1
Call of the wild salmon grows weaker by the year,Aquaculture,Canada,1999,-1
Fish farmers seek clarity on marine park plans; VICTORIA,Aquaculture,Australia,1999,-1
Prime coast earmarked for fish farming,Aquaculture,Australia,1999,0
Lobster farming a big step closer,Aquaculture,Australia,1999,1
Aquaculture offers a meal ticket; FEATURES,Aquaculture,Australia,1999,1
Bigger fish to fry for aquaculture business,Aquaculture,Australia,1999,1
"FISH SCHOOL; Aquaculture classes at South Brunswick High raise, feed, and now, sell their own crops",Aquaculture,USA,1999,0
Aquaculture worth over (GBP) 6m,Aquaculture,United Kingdom,1999,1
State plans to double aquaculture output; VICTORIA,Aquaculture,Australia,1999,1
BRUNSWICK PEOPLE / Douglas Holland; Expert cultivates fish farming,Aquaculture,USA,1999,1
THE REGION; BRUNSWICK; College breaks ground on aquaculture center,Aquaculture,USA,1999,1
Aquaculture a good solution to boost fish supply,Aquaculture,Malaysia,1999,1
Sea of wisdom,Aquaculture,Australia,1999,1
Aquaculture may not be solution to increasing fish supply,Aquaculture,Malaysia,1999,-1
JCU leads way in study of aquaculture,Aquaculture,Australia,1999,0
Aquaculture can help to bring down import bills',Aquaculture,Malaysia,1999,1
Netting the profits of fish farming; North Queensland,Aquaculture,Australia,1998,1
 CLAM FARMING COULD RESTORE STEAMER RANKS; A FEDERAL GRANT WILL FUND A CONTROVERSIAL AQUACULTURE PROGRAM.,Aquaculture,USA,1998,0
Book on local aquaculture practices launched,Aquaculture,Malaysia,1998,0
Dr Sulaiman: Have more aquaculture activities,Aquaculture,Malaysia,1998,1
Warning on future of aquaculture,Aquaculture,United Kingdom,1998,-1
Farmers of the future,Aquaculture,Australia,1998,0
Aquaculture to help meet demand for protein food,Aquaculture,Malaysia,1998,1
North centre of aquaculture,Aquaculture,Australia,1998,0
Aquaculture sector has bright future',Aquaculture,Malaysia,1998,1
The Blue revolution,Aquaculture,Australia,1998,1
"JOBS, PROFITS AND INNOVATION...South AUSTRALIA GOES FISHING;AND COMES UP WITH SOME IMPRESSIVE CATCHES; new industry to;reel in millions",Aquaculture,South Africa,1998,1
Aquaculture booms in state,Aquaculture,Australia,1998,1
Aquaculture aims for $200m annual value; Fish farming's;funds push,Aquaculture,Australia,1998,1
Aquaculture way to boost fish stocks,Aquaculture,Malaysia,1998,1
Study will assess jobs potential of aquaculture at Shannon industry,Aquaculture,Ireland,1998,0
May 14 hearing for petition to wind up prawn company,Aquaculture,Malaysia,1998,0
Offering fishermen aquaculture option to boost catch,Aquaculture,Malaysia,1998,1
FISH FARMING AND NEW BILL,Aquaculture,Ireland,1998,0
State battling to foster fish farming,Aquaculture,Australia,1996,-1
AQUACULTURE ON A ROLL,Aquaculture,Australia,1996,1
Environ-friendly aquaculture projects guideline,Aquaculture,Malaysia,1996,1
LETTERS,Aquaculture,USA,1996,0
Fished-out New England turns to commercial farms,Aquaculture,Canada,1996,1
These fish are a well-cultured lot,Aquaculture,Canada,1996,1
SA casts for more fish exports,Aquaculture,Australia,1996,0
Move to regulate aquaculture activities,Aquaculture,Malaysia,1996,0
Adverse effects of mangrove loss,Aquaculture,Malaysia,1996,-1
Regulating use of mangrove forests for aquaculture,Aquaculture,Malaysia,1996,-1
Fish that are reared to be main source of supply,Aquaculture,Malaysia,1996,0
GROWING FISH FARMS FILL IMPORTANT ROLE IN STATE ECONOMY;AQUACULTURE EVOLVES INTO A $ 43 MILLION-A-YEAR INDUSTRY AND AN ECONOMIC PILLAR;IN DOWN EAST TOWNS.,Aquaculture,USA,1996,1
"Fish farming set for boom Size to rival wine industry,;Premier tips",Aquaculture,Australia,1996,1
Fish food option for grain growers,Aquaculture,Australia,1996,0
CAP calls for review of aquaculture projects,Aquaculture,Malaysia,1996,0
Should Canada be casting nets to potential of fish farming?,Aquaculture,Canada,1996,-1
Fish farms expansion will help create jobs,Aquaculture,Canada,1996,1
CAPTIVE RAW PRAWN IS HEADING FOR BOOMING FUTURE IN FAR NO,Aquaculture,Australia,1996,1
AQUACULTURE   DFO helps set goals and map a plan   Campbell River meeting helps provide a blueprint for the   future,Aquaculture,Canada,1993,0
"AQUACULTURE   Fear of change presents only one obstacle   Environmental concerns are being addressed, but opposition   remains",Aquaculture,Canada,1993,-1
AQUACULTURE   The New Wave   Aquaculture provides hope as commercial fisheries decline   Government has dragged its feet in embracing unavoidable   change   It's not trying to displace fishing and it's   not just fish farming. It's a thriving young industry   that could grow to a $1-billion business in Canada   by the end of the decade.,Aquaculture,Canada,1993,1
AQUACULTURE   Canada follows growing trend   Growth industry tied to increase in exports,Aquaculture,Canada,1993,1
Newfoundland curbs fish industry growth,Aquaculture,Canada,1993,-1
SA THE WAY AHEAD A Special Series Boom times on way for;'farmers',Aquaculture,Australia,1993,1
BANKING ON MILLIONS OF CLAMS Production goes high-tech in S.C.,Aquaculture,USA,1993,1
FISH FARMERS FACE BARRIERS,Aquaculture,Australia,1992,-1
Fishing Lines: Smoking out giant salmon,Aquaculture,United Kingdom,1992,0
WHAT'S THE CATCH?;Aquaculture & Drugs: Wondering How Much Is Too Much,Aquaculture,USA,1992,-1
Fishing Lines: Missing trout mystery,Aquaculture,United Kingdom,1992,0
"Ottawa expect fish farming   to boom over next decade   Aquaculture now worth $100-million, official says",Aquaculture,Canada,1990,1
AQUACULTURE A BOOM INDUSTRY,Aquaculture,Australia,1990,1
GOVT ACCUSED OF WHITEWASH,Aquaculture,Australia,1990,-1
AQUACULTURE CENTRE'S FIRST STAGE TO OPEN,Aquaculture,Australia,1990,0
Maryland Optimistic About Aquaculture Industry;New Law to Provide Benefits to Fish Farmers,Aquaculture,USA,1990,1
Aquaculture farms net $16 million sea harvest,Aquaculture,Canada,1990,1
NEW JERSEY JOURNAL;AQUACULTURE AND THE FUTURE,Aquaculture,USA,1990,0
UN OPTIMISTIC ON AQUACULTURE,Aquaculture,USA,1990,1
Fish on the Hoof;Aquaculture: Wave Of the Future?,Aquaculture,USA,1990,1
Action to build underwater harvests urged,Aquaculture,Canada,1984,1
Aquaculture: wave of the future rocks traditional fishery,Aquaculture,Canada,1984,0
Prawns a growing business in Port,Aquaculture,Australia,2015,1
Speech by SMS Desmond Lee at International Aquaculture Singapore Conference,Aquaculture,Singapore,2015,0
List of Fisheries for 2016,Aquaculture,United States,2015,0
FEDERAL REGISTER: List of Fisheries for 2016,Aquaculture,United States,2015,0
JCU bid for Ross Creek marine hub,Aquaculture,Australia,2015,0
SL's economy grows 6.7% in 2Q,Aquaculture,Sri Lanka,2015,0
Sri Lanka economy grew 6.7-pct in Q2 2015,Aquaculture,Sri Lanka,2015,0
Media to descend on Cairns,Aquaculture,Australia,2015,0
"Washington: King, National Park Service Officially Open Schoodic Woods Campground",Aquaculture,United States,2015,0
FEDERAL REGISTER: Endangered and Threatened Species: Final Rulemaking To Revise Critical Habitat for Hawaiian Monk Seals,Aquaculture,United States,2015,0
"Whole fish approach | Plant would process the entire fish to produce fish chow, fish oil - maybe even fertilizer.",Aquaculture,United States,2015,0
"Spain challenges subsidy on Turkish sea products, exporters upset",Aquaculture,Turkey,2015,-1
Coastal resources face threat,Aquaculture,Australia,2015,-1
Something fishy is netting a profit in schoolgirl's life Youngster's idea turns into a thriving,Aquaculture,South Africa,2015,1
"Small fry at first maybe, but teen's fish farm's growing; Tilapia waste feeds the hydroponic vegetables that float her business in an innovative recycling system",Aquaculture,South Africa,2015,1
Shrimp Export up by 56 Per Cent in State,Aquaculture,India,2015,1
"Environmental Impact Statements; Availability, etc.; Weekly Receipts",Aquaculture,United States,2015,0
"Don't come raw prawn, fraud told over $19m tax bill",Aquaculture,Australia,2015,-1
Hayleys Agriculture wins AREA Award in Social Empowerment,Aquaculture,Sri Lanka,2015,0
"Washington: S. Rept. 114-66 - DEPARTMENTS OF COMMERCE AND JUSTICE, AND SCIENCE, AND RELATED AGENCIES APPROPRIATIONS BILL, 2016",Aquaculture,United States,2015,0
FEDERAL REGISTER: Spring 2015 Semiannual Agenda of Regulations,Aquaculture,United States,2015,0
More aquaculture challenges,Aquaculture,New Zealand,2015,-1
Coastal areas ecosystem must for blue economy,Aquaculture,Bangladesh,2015,0
B.C. salmon farm appeals Federal Court order,Aquaculture,Canada,2015,-1
Salmon farm appeals Federal Court ruling,Aquaculture,Canada,2015,-1
New twist in controversial fish farm plan,Aquaculture,South Africa,2015,-1
SA is open for business as a smart investment,Aquaculture,South Africa,2015,1
"US Contract Notice: Department of Agriculture Issues Solicitation for Astaxathin & Canthazanthin Analysis""""",Aquaculture,United States,2015,0
Marine teachers go back to fishy school,Aquaculture,Australia,2015,0
Alaska: Introduction to Shellfish Aquaculture - Module 2,Aquaculture,United States,2015,0
Centre not issuing funds for Sindh marine products export,Aquaculture,Pakistan,2015,0
EU move to boost PH fishing targets,Aquaculture,Philippines,2015,0
Lifting of 'yellow card' to generate $300-M fishery exports to EU,Aquaculture,Philippines,2015,1
Rep. Huffman Introduces Fishing Economy Improvement Act,Aquaculture,United States,2015,1
Costa-Pierce Talks on Ocean Food Systems at Harvard,Aquaculture,United States,2015,0
Rs 107-cr seafood park in Deras,Aquaculture,India,2015,0
Super diet promises a prawn bounty,Aquaculture,Australia,2015,1
Luncheon lives up to the hype,Aquaculture,Australia,2015,0
Real cost of injury in the farm sector,Aquaculture,Australia,2015,-1
Colleges asked to push practical skills,Aquaculture,China,2015,0
Fish farmers restock as water quality appears improved; Some move their stocks back into open waters after recent fish deaths,Aquaculture,Singapore,2015,-1
injury on farms massive; Time lost,Aquaculture,Canada,2015,-1
"Asian touch to salmon; Easy to cook and packed with nutrients, roasted salmon fillet is a quick favourite",Aquaculture,Singapore,2015,1
Prahok put to the quality test,Aquaculture,Cambodia,2015,0
Mass fish deaths hit Changi farmers hard,Aquaculture,Thailand,2015,-1
Mass fish deaths overnight hit Changi farmers hard,Aquaculture,Singapore,2015,-1
Washington: Endangered and Threatened Species; Critical Habitat for Endangered North Atlantic Right Whale,Aquaculture,United States,2015,0
Arizona: Endangered and Threatened Species: Critical Habitat for Endangered North Atlantic Right Whale,Aquaculture,United States,2015,0
Following fish,Aquaculture,Pakistan,2015,0
"Corporate: Barramundi Asia plans global expansion, backed by A*STAR and local entrepreneur",Aquaculture,Singapore,2015,1
Pakistan: Benefits of tilapia farming highlighted,Aquaculture,Pakistan,2015,1
Benefits of tilapia farming highlighted,Aquaculture,Pakistan,2015,1
Johor eyes position as hub for marine studies,Aquaculture,Malaysia,2015,0
"'Marine Pollution Posing Challenge To Fish Trade, Human Health'",Aquaculture,India,2015,-1
New Hampshire: N.H. Marine Rule Changes for 2015,Aquaculture,United States,2015,0
"Marine pollution posing challenge to fish trade, human health: Experts",Aquaculture,India,2015,-1
List of Fisheries for 2015,Aquaculture,United States,2014,0
Washington: List of Fisheries for 2015,Aquaculture,United States,2014,0
Washington: Fall 2014 Semiannual Agenda of Regulations,Aquaculture,United States,2014,0
Washington: Introduction to the Unified Agenda of Federal Regulatory and Deregulatory Actions,Aquaculture,United States,2014,0
China invites PHL in world's first fish 'spot market',Aquaculture,Philippines,2014,0
"Lifeline for offshore marine research unit; St John's Island lab, which was beset by rising operating costs, finds a way to stay open",Aquaculture,Singapore,2014,0
